City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Luwuk,ID,2023-01-26 00:02:48,-0.9516,122.7875,81.21,76,100,1.63
150,Puerto Del Rosario,ES,2023-01-26 00:02:48,28.5004,-13.8627,62.35,55,75,26.46
151,Lubuagan,PH,2023-01-26 00:02:48,17.3548,121.1747,60.66,87,59,1.52
152,Sambava,MG,2023-01-26 00:02:49,-14.2667,50.1667,76.03,88,100,2.73
153,Pevek,RU,2023-01-26 00:02:49,69.7008,170.3133,-17.28,74,2,1.54
154,Gorom-Gorom,BF,2023-01-26 00:02:49,14.4439,-0.2361,80.2,13,42,6.13
155,Galle,LK,2023-01-26 00:02:50,6.0367,80.217,73.62,88,94,2.33
156,Troitskoye,RU,2023-01-26 00:02:50,52.9821,84.6757,18.01,93,100,17.9
157,Lompoc,US,2023-01-26 00:02:50,34.6391,-120.4579,68.14,63,0,4.61
158,Avera,US,2023-01-26 00:02:51,33.194,-82.5271,60.85,84,100,12.86
159,Saint-Philippe,RE,2023-01-26 00:02:51,-21.3585,55.7679,74.79,88,100,7.76
160,Vanimo,PG,2023-01-26 00:02:52,-2.6741,141.3028,82.26,73,96,4.5
161,Provideniya,RU,2023-01-25 23:57:53,64.3833,-173.3,-6.65,71,100,17.9
162,Camden,US,2023-01-26 00:02:52,39.7835,-74.9663,51.57,89,100,8.99
163,Vostok,RU,2023-01-26 00:00:44,46.4856,135.8833,-18.58,93,97,2.62
164,Saint-Georges,GD,2023-01-26 00:02:53,12.0564,-61.7485,75.16,82,36,14.25
165,Talcahuano,CL,2023-01-26 00:02:53,-36.7167,-73.1167,62.28,67,0,16.11
166,Mitsamiouli,KM,2023-01-26 00:02:53,-11.3847,43.2844,81.43,82,100,17.9
167,Tigzirt,DZ,2023-01-26 00:02:54,36.8886,4.1198,50.47,80,89,12.46
168,Thompson,CA,2023-01-25 23:58:51,55.7435,-97.8558,-5.64,77,75,4.61
169,Nanortalik,GL,2023-01-26 00:02:54,60.1432,-45.2371,33.94,97,100,10.87
170,Westport,US,2023-01-26 00:02:40,41.1415,-73.3579,45.09,89,100,21.85
171,Taoudenni,ML,2023-01-26 00:02:54,22.6783,-3.9836,67.53,13,97,8.43
172,East London,ZA,2023-01-26 00:02:55,-33.0153,27.9116,68.09,89,79,13.15
173,Pointe Michel,DM,2023-01-26 00:02:55,15.25,-61.3833,77.27,74,44,14.56
174,Otradnoye,RU,2023-01-26 00:02:55,59.7775,30.8181,37.45,97,100,10.8
175,Hay River,CA,2023-01-26 00:00:36,60.8156,-115.7999,7.99,94,99,7.83
176,Norfolk,US,2023-01-26 00:00:37,42.1668,-71.2495,35.35,88,100,10.36
177,Anchorage,US,2023-01-25 23:59:45,61.2181,-149.9003,39.34,87,100,7.0
178,Chuy,UY,2023-01-25 23:58:00,-33.6971,-53.4616,73.29,75,91,9.6
179,Hithadhoo,MV,2023-01-26 00:02:56,-0.6,73.0833,81.25,74,64,10.94
180,Verkhniy Avzyan,RU,2023-01-26 00:02:56,53.5289,57.5372,-4.63,100,75,2.04
181,Saskylakh,RU,2023-01-26 00:02:57,71.9167,114.0833,-26.57,97,92,9.17
182,Kaputa,ZM,2023-01-26 00:03:57,-8.4689,29.6619,67.01,87,100,2.51
183,Manicore,BR,2023-01-26 00:03:57,-5.8092,-61.3003,75.15,100,20,2.3
184,Comodoro Rivadavia,AR,2023-01-26 00:01:35,-45.8667,-67.5,68.27,36,68,26.42
185,Tuatapere,NZ,2023-01-26 00:03:58,-46.1333,167.6833,75.29,38,39,4.94
186,Mastic Beach,US,2023-01-26 00:03:58,40.7668,-72.8521,45.99,93,100,18.01
187,Praya,CV,2023-01-26 00:03:58,14.9215,-23.5087,69.39,74,91,6.17
188,Vestmannaeyjar,IS,2023-01-26 00:03:59,63.4427,-20.2734,43.3,74,100,17.76
189,Bayji,IQ,2023-01-26 00:03:59,34.9311,43.487,48.25,38,43,5.68
190,Satuk,TR,2023-01-26 00:03:59,41.2263,32.3836,33.22,78,4,3.33
191,Behshahr,IR,2023-01-26 00:04:00,36.6923,53.5526,37.49,75,10,3.4
192,Novobataysk,RU,2023-01-26 00:04:00,46.8981,39.7819,30.81,46,0,11.18
193,Naze,JP,2023-01-26 00:04:01,28.3667,129.4833,51.6,59,56,1.12
194,Ampanihy,MG,2023-01-26 00:04:01,-24.7,44.75,73.27,82,100,17.16
195,Roros,NO,2023-01-26 00:04:02,62.5747,11.3842,30.04,86,40,9.22
196,Haines Junction,CA,2023-01-26 00:04:02,60.7522,-137.5108,36.93,90,72,8.84
197,Mirnyy,RU,2023-01-26 00:04:02,62.5353,113.9611,-40.18,100,100,2.39
198,Kruisfontein,ZA,2023-01-26 00:04:03,-34.0033,24.7314,59.88,91,0,4.27
199,Lisala,CD,2023-01-26 00:04:03,2.15,21.5167,72.52,59,91,0.98
200,Gharghoda,IN,2023-01-26 00:04:04,22.1667,83.35,62.01,40,15,2.24
201,Barrow,US,2023-01-26 00:04:04,71.2906,-156.7887,-16.58,76,0,12.66
202,Namibe,AO,2023-01-26 00:04:04,-15.1961,12.1522,74.44,83,100,5.5
203,Saint-Pierre,RE,2023-01-26 00:04:05,-21.3393,55.4781,74.88,88,100,8.05
204,Faya,SA,2023-01-26 00:04:05,18.3851,42.4509,54.12,53,0,4.14
205,Salair,RU,2023-01-26 00:04:05,54.2312,85.7972,15.35,89,100,18.7
206,Mana,GF,2023-01-26 00:04:06,5.6592,-53.7767,73.78,81,33,4.74
207,Saint-Francois,FR,2023-01-26 00:02:35,46.4154,3.9054,35.04,87,100,11.5
208,Luorong,CN,2023-01-26 00:04:06,24.4058,109.6086,49.3,46,71,3.31
209,Portland,US,2023-01-26 00:00:10,45.5234,-122.6762,48.56,84,76,3.0
210,Alghero,IT,2023-01-26 00:04:06,40.5589,8.3181,44.69,93,75,8.05
